ID,Firm_ID,Year_of_Establishment,FirmName,Legal_Representative,Registered_Capital,Paid_in_Capital,Date_of_Establishment,Business_Status,Unified_social_credil_code,Registration_number,Taxpayer_number,Organization_code,Type_of_enterprise,Industry,Date_of_approval,Registration_Authority,Term_of_operation,Taxpayer_qualification,Staff_size,Insured_number,Former_name,English_name,Registered_address,Business_scope,Email,Label,Province,Province_code,City,City_code,County,County_code
55974628,5b0240de88ceb7e64e0958806c657a75,2011,宁德市东侨经济开发区卓越鞋行,谢霞妹,15万人民币,,2011-08-02,注销,,,,,,,,,,,,,,,,,,,福建省,350000,宁德市,350900,蕉城区,350902
116445912,68107eaf68f6fba2900cd2370a6586d3,2012,江苏丰帆建筑装饰工程有限公司,朱新兰,500万元人民币,,2012-04-06,在业,,,91320583593902885R,59390288-5,有限责任公司,土木工程建筑业,None,昆山市市场监督管理局,2012-04-06至2032-04-05,,,,None,None,昆山开发区衡山路1399号1号楼12-13室,市政工程，幕墙工程，金属门窗上门安装，消防工程，建筑楼宇智能化工程；室内外装饰设计、施工；水、电、暖气设备，通风设备安装；园林绿化；建筑设备租赁；外墙保温、节能材料的安装及销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,,江苏省,320000,苏州市,320500,昆山市,320583
119977287,141e7ee36dac5d293d61a0c0c1e097ef,2012,滕州市洪绪鑫锐翔木工刀具店,张玉同,,,2012-08-29,存续,,370481600870504,92370481MA3DTJUH4A,,个体工商户,None,None,滕州市工商行政管理局,未公开,,,,None,未公开,滕州市洪绪镇西赵沟村,木工刀具维修、加工、销售（依法须经批准的项目、经相关部门批准后方可开展经营活动）,,None,山东省,370000,枣庄市,370400,滕州市,370481
126605495,32901f04c34b8da3ea02970639e26ca5,2012,老河口市农园莲藕种植专业合作社,李光新,60万元,,2012-10-10,存续（在营、开业、在册）,,420682NA000232X,未公开,,农民专业合作社,农业,None,老河口市工商行政管理局,未公开,,,,None,未公开,老河口市仙人渡镇黄营村二组,为本社成员提供所需的莲藕销售及其相关的技术、信息服务。,,None,湖北省,420000,襄阳市,420600,老河口市,420682
78114353,1c1de25aaf373bdf0650875d1df1f3cc,2012,郑州市二七区张硕建材行,秦建玲,8万人民币,,2012-04-16,注销,,,,,,,,,,,,,,,,,,,河南省,410000,郑州市,410100,二七区,410103
135096805,d2d485bc362639000a7ff76e78b84b50,2012,汉阳区韵香茶叶经营部,彭皋,,,2012-09-13,存续（在营、开业、在册）,,420105600347207,9144030056572329X8,,个体工商户,None,None,十里工商所,2010-11-29,,,,None,未公开,武汉市汉阳区玫瑰街赛博园5栋1层19室,预包装食品兼散装食品、乳制品（不含婴幼儿配方乳粉）零售（许可项目经营期限与许可证核定期限一致）。,,None,湖北省,420000,武汉市,420100,汉阳区,420105
127969180,97f08c72db59606eab804d80a5586b34,2011,梨树县小城子镇六屋食杂商店,杨树红,未公开,,2011-10-31,存续（在营、开业、在册）,,220322600036082,未公开,未公开,个体工商户,零售业,None,梨树县市场监督管理局,未公开,,,,None,未公开,梨树县小城子镇六屋村四社,预包装兼散包装食品 烟 日用品 零售,,None,吉林省,220000,四平市,220300,梨树县,220322
107059119,9772f0f68cebd2894566388cdf11fe39,2012,大连宝元金顺石油化工有限公司,张宁,2000万人民币,,2012-09-20,存续（在营、开业、在册）,,210244000021486,91210244051128039J,05112803-9,有限责任公司(自然人独资),批发和零售业,None,大连长兴岛经济区工商行政管理局,2012-09-20至2022-09-19,,,,None,None,辽宁省大连长兴岛经济区何屯村（原何屯小学）,"成品油（仅限汽油（1630）、甲醇汽油（1630）、乙醇汽油（1630）、煤油（1571）、柴油[闭杯闪点≤60℃]（1674）)、石脑油（1964）、1,2-二甲苯（355）、1,3-二甲苯（356）、1,4-二甲苯（357）、苯酚（60）、丙烯（140）、苯（49）、苯乙烯[稳定的]（96）、硝酸[浓度]（2285）、甲基叔丁基醚（1148）、氢氧化钠（1669）、...",,,辽宁省,210000,大连市,210200,瓦房店市,210281
69109094,0093e9545324319533c07381de2392dc,2012,三元区旺兴食品店,洪仲民,3万人民币,,2012-06-08,存续,,,,,,,,,,,,,,,,,,,福建省,350000,三明市,350400,三元区,350403
74020233,f7ceb7d4e8e247be252d3b3390207fb9,2011,霍山县铁岭灵芝农民专业合作社,许文龙,200万人民币,,2011-06-07,存续,,,,,,,,,,,,,,,,,"""18756401678@139.com"",""werhf@163.com"",""dfhk@163.com"",""dlvj@163.com""",,安徽省,340000,六安市,341500,霍山县,341525
53800148,1d8b68f452599c251e9be076e288145d,2012,北京世华园百货商店,邵先雷,2万人民币,,2012-07-13,开业,,,,,,,,,,,,,,,,,,小微企业,北京市,110000,北京市,110000,东城区,110101
139545798,93fad93e8904040334e4d1de294948a1,2011,隆安县成志刚养鸡场（微型企业）,成志刚,未公开,,2011-11-21,存续（在营、开业、在册）,,450123300003880,9145012358714255XJ,58714255X,个人独资企业,畜牧业,None,隆安县工商行政管理局城厢所,未公开,,,,None,未公开,隆安县城厢镇震东村花苏屯,家禽养殖，销售。,,None,广西壮族自治区,450000,南宁市,450100,隆安县,450123
8452347,0ba8be91233e07c3b3a7480034502298,2012,盐城品冠高压电气有限公司,卫爱静,1200万人民币,1200万人民币,2012-04-05,在业,91320903592599933L,320928000190574,91320903592599933L,592599933,有限责任公司(自然人投资或控股),电气机械和器材制造业,,盐城市盐都区市场监督管理局,2012-04-05至2032-04-04,-,-,0,,-,盐城市盐都区北龙港街道龙潭东路288号（R）,绝缘材料、电气设备配件、工业烘箱、化纤机械、涂装设备、环保设备研发、制造、销售，加热圈、不锈钢制品、电动液压设备制造及销售，钢件铸造，铝件制品切割加工，自营和代理各类商品及技术的进出口业务（国家限定或者禁止企业进出口的商品及技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,kbdq88661139@163.com,小微企业,江苏省,320000,盐城市,320900,盐都区,320903
